object_name,budget_id,label,material,hardware_spec,note
Rail400_1,F01,"NFSL6-3030-400 | stock, no cuts",aluminum,,"Published slot8/lip2/depth9/max16.5; nominal reconstructed bevels. Internal webs and small radii simplified. Use catalog mass/inertia, not this solid."
Rail400_2,F01,"NFSL6-3030-400 | stock, no cuts001",aluminum,,"Published slot8/lip2/depth9/max16.5; nominal reconstructed bevels. Internal webs and small radii simplified. Use catalog mass/inertia, not this solid."
Rail400_3,F01,"NFSL6-3030-400 | stock, no cuts002",aluminum,,"Published slot8/lip2/depth9/max16.5; nominal reconstructed bevels. Internal webs and small radii simplified. Use catalog mass/inertia, not this solid."
Rail400_4,F01,"NFSL6-3030-400 | stock, no cuts003",aluminum,,"Published slot8/lip2/depth9/max16.5; nominal reconstructed bevels. Internal webs and small radii simplified. Use catalog mass/inertia, not this solid."
Cross300_1,F02,"NFSL6-3030-300 | stock, no cuts",aluminum,,"Published slot8/lip2/depth9/max16.5; nominal reconstructed bevels. Internal webs and small radii simplified. Use catalog mass/inertia, not this solid."
Cross300_2,F02,"NFSL6-3030-300 | stock, no cuts001",aluminum,,"Published slot8/lip2/depth9/max16.5; nominal reconstructed bevels. Internal webs and small radii simplified. Use catalog mass/inertia, not this solid."
Bracket_NN120,F03,MISUMI HBLFSN6-SET | series6,aluminum,,"Official specified part, simplified nominal ribs/tabs. Personal purchasing path unconfirmed."
JointA_NN120,F03,JointA NN120,steel,M6x12 socket screw,Unthreaded screw envelope; separate nuts/washers counted in fasteners.csv.
SlotNut_JointA_NN120,F03,"HNTT6-6 | catalog6.3 thick, tapered nominal profile",steel,HNTT6-6 slot nut,A7.8/B15/E5.5/T6.3/L14. Rear taper reconstructed from catalog view; thread and corner radii omitted. Received slot/nut measurements required.
JointB_NN120,F03,JointB NN120,steel,M6x12 socket screw,Unthreaded screw envelope; separate nuts/washers counted in fasteners.csv.
SlotNut_JointB_NN120,F03,"HNTT6-6 | catalog6.3 thick, tapered nominal profile001",steel,HNTT6-6 slot nut,A7.8/B15/E5.5/T6.3/L14. Rear taper reconstructed from catalog view; thread and corner radii omitted. Received slot/nut measurements required.
Bracket_NN50,F03,MISUMI HBLFSN6-SET | series001,aluminum,,"Official specified part, simplified nominal ribs/tabs. Personal purchasing path unconfirmed."
JointA_NN50,F03,JointA NN50,steel,M6x12 socket screw,Unthreaded screw envelope; separate nuts/washers counted in fasteners.csv.
SlotNut_JointA_NN50,F03,"HNTT6-6 | catalog6.3 thick, tapered nominal profile002",steel,HNTT6-6 slot nut,A7.8/B15/E5.5/T6.3/L14. Rear taper reconstructed from catalog view; thread and corner radii omitted. Received slot/nut measurements required.
JointB_NN50,F03,JointB NN50,steel,M6x12 socket screw,Unthreaded screw envelope; separate nuts/washers counted in fasteners.csv.
SlotNut_JointB_NN50,F03,"HNTT6-6 | catalog6.3 thick, tapered nominal profile003",steel,HNTT6-6 slot nut,A7.8/B15/E5.5/T6.3/L14. Rear taper reconstructed from catalog view; thread and corner radii omitted. Received slot/nut measurements required.
Bracket_N50,F03,MISUMI HBLFSN6-SET | series002,aluminum,,"Official specified part, simplified nominal ribs/tabs. Personal purchasing path unconfirmed."
JointA_N50,F03,JointA N50,steel,M6x12 socket screw,Unthreaded screw envelope; separate nuts/washers counted in fasteners.csv.
