ID,品名,購入パック数,1パック入数,使用数,余り,パック価格円,購入小計円,価格区分,税の扱い,URL,注意,計上単位,調達状態,シナリオ
F01,MISUMI NFSL6-3030-400 4本組,1,4,4,0,1952,1952,observed_carried_from_A3,tax_included_reference,https://www.amazon.co.jp/dp/B0DKF2CCW3,切断不要。左右外周2本と内部2本。,本,未発注・受入確認待ち,custom_taobao_bare
F02,MISUMI NFSL6-3030-300 4本組,1,4,2,2,1467,1467,observed_carried_from_A3,tax_included_reference,https://www.amazon.co.jp/dp/B0DKDZ8G9G,切断不要。前後各1本、予備2本も購入費に含む。,本,未発注・受入確認待ち,custom_taobao_bare
F03,MISUMI HBLFSN6-SET 純正6シリーズ接合セット,8,1,8,0,192.5,1540.0,manufacturer_catalog_reference,tax_included_reference,https://jp.misumi-ec.com/vona2/detail/110300442340/,2026年7月の公式表: 本体78円+SET97円=税別175円/組。8組×175×1.10=1540円の参考換算。各組にCBM6-12×2とHNTT6-6×2を含む。請求時の丸め・個人購入経路・送料は未確定。第二案で確認した参考値を引継ぎ、この作業で価格を再照合していない。,組,個人購入経路・納入総額未確定,custom_taobao_bare
F04,MISUMI HNTT6-6 追加28個分の予算,1,28,28,0,1200,1200,allowance,tax_included_planning_allowance,https://jp.misumi-ec.com/vona2/detail/110302610850/,全44個=接合16+ガセット8+製作モーターブラケット4+キャスター板4+低床クレードル4+後部電装4+前部電装4。SET付属16個を引き追加28個。1200円は数量分仮枠で販売パック未確認。既製ブラケット比較案の再配置数量は未確定。,式（28個分仮枠）,個人購入経路・販売単位・現価格未確定,custom_taobao_bare
E01,Devantech USB-RS485B 通信インターフェース,1,1,1,0,4400,4400,observed_carried_from_A3,tax_included_reference,https://www.elefine.jp/SHOP/USB-RS485.html,2026-09-20の税込表示4400円。USBケーブル別売のためE02へ別計上。通常送料660円をS05へ計上。M0601C_111との実機通信・終端・配線・制御ソフトは未検証。主計算機や電源を含まない。,個,予算選定・未発注。確認時在庫わずか表示。最安品との主張ではない,custom_taobao_bare
E02,USB-RS485Bと主計算機を接続するUSBケーブル予算,1,1,1,0,500,500,allowance,tax_included_planning_allowance,,USB-RS485BにはUSBケーブルが付属しないため500円を仮置き。機器側端子・主計算機側端子・長さを確定後、実商品の購入単位全額に更新する。RS485側の車内配線や電源配線は含まない。,本相当,端子・長さ・採用品・販売価格未確認,custom_taobao_bare
C01,ハンマーキャスター 420G-R50,1,1,1,0,373,373,observed_carried_from_A3,tax_included_reference,https://www.tanaka-km.com/view/item/000000036665,Aの販売情報を引継ぎ: 径50/幅20/高さ65、座59×47、穴ピッチ46×35、トレール16、許容荷重300Nの公称値。段差走行能力を認定する値ではない。個人購入可としたAの販売店を継続候補とし、本州送料650円を別計上。6mm取付スペーサーは撤去。,個,未発注・受入確認待ち,custom_taobao_bare
P01,キャスター板用 A5052 t4 素材予算,1,1,1,0,900,900,allowance,tax_included_planning_allowance,,完成板80×170×t4を1枚。900円はこの1枚を切り出す購入素材分の仮枠で、完成加工価格ではない。販売寸法・最小注文単位・切りしろ・つかみ代を確認して更新する。旧200角から車軸板2枚を作る構成は廃止。,式（1枚切出し素材相当）,販売単位・素材価格・切出し条件未見積,custom_taobao_bare
P03,A5052板 t3 150x150mm 素材予算,1,1,1,0,500,500,allowance,tax_included_planning_allowance,,Aの素材仮枠500円を維持。60×60直角三角ガセット4枚。販売単位と加工条件は未確定。,枚相当,販売単位・価格・加工条件未確認,custom_taobao_bare
P04,低床電池クレードル・前後電装トレイ用PLA 消費材料予算,1,1,1,0,600,600,allowance,tax_included_planning_allowance,,既所有PLAの300g相当・600円枠。クレードル130×160×37、後部85×180×4.4、前部145×170×4.4mm各1点。CAD充実PLA推計は合計約245.5gで、実スライス量・再印刷分は未確認。全点P1S公称256mm角内。電池形状は予約空間で実電池の適合を意味しない。新規スプール購入時は販売単位全額へ更新。プリンター・工具・作業時間・電気代は含まない。,式（消費分）,既所有PLA使用仮定・実スライス量未確認,custom_taobao_bare
H01,追加M2.5/M6ねじ・一般ナット・ワッシャ 一式予算,1,1,1,0,2300,2300,allowance,tax_included_planning_allowance,,A3の2300円枠を維持。予定追加数はM2.5×12を6本、M6×10を8本、M6×12を20本、M6×16を4本、M6一般ナット4個、M6通常ワッシャ12枚・大径12枚。A3のアングル/キー用M4ねじ・ナット・ワッシャ各12点は撤去。使用数減少から販売パック代が減るとは推定しない。SET付属M6×12を16本、溝ナットF04、タイヤキット付属ねじは重複計上しない。最終fasteners.csvと照合済み。,式,A4 CAD数量照合済み・購入パックと単価は未見積,custom_taobao_bare
H02,電池固定ストラップ2本分の予算,1,2,2,0,500,500,allowance,tax_included_planning_allowance,,低床クレードルに電池を固定する2本分の仮枠。幅・長さ・金具・締付方法・販売単位は未選定で、実在する2本組商品の価格ではない。電池やアダプターの価格は含まない。実電池に合わせて保持方法を確定する。,式（2本分仮枠）,採用品・販売単位・保持適合未確認,custom_taobao_bare
D01,M0601C_111 Taobao購入想定,2,1,2,0,7000,14000,user_allowance,unverified_user_estimate,,ユーザー提示の約7000円/個を円換算の仮枠とする。対象URL・選択SKU・同一仕様・タイヤ/カバー/ねじ/ケーブル付属・送料・代行/輸入諸費は未確認。基準は本体のみと仮定し、初回タイヤをD02へ別計上。国内販売税込単価とは扱わない。,個,ユーザー仮枠・対象商品/付属品/着荷総額未確認,custom_taobao_bare
D02,DDT-M0601C-TIRE 初回装着用タイヤキット,2,1,2,0,4620,9240,observed_2026_09_21,tax_included_reference,https://www.switch-science.com/products/9203,M0601C_111への適合記載。1キットにタイヤ1、カバー1、ねじ3。2輪分9240円を同時注文する場合は通常送料無料。初回装着分で、将来交換用の予備キットではない。Taobao品に適合する一式が付属すると確認できた場合のみ初回別購入を除く。,キット,確認時在庫6表示・未発注/未確保。輸入品の型式/版と適合は受入確認,custom_taobao_bare
Q01,A6061-T6 低背一体Lブラケット 左右2個の製作見積,1,2,2,0,見積待ち,見積待ち,quote_pending,unknown_quote_tax_basis,,同形状2個を回転して左右に配置。完成包絡90×30×34mm、フランジ90×30×5、web60×17×34、特殊固定受けpocket深さ9mm/背面8mm。最新custom_mount_dimensions.jsonとSTEPを対象に、A6061-T6材料・CNC加工・バリ取り込みの2個一式を見積もる。完成形状寸法は購入ブランク寸法ではない。実際の見積範囲を確認し材料込みなら素材代を別加算しない。未見積を0円や旧加工6000円で代用しない。送料S08・残存板加工K01とは範囲を分ける。,式（同形状2個）,CAD見積用形状作成済み・見積未取得/依頼未送信。寸法公差と受入モーター適合は未確定,custom_taobao_bare
