ID,品名,購入パック数,1パック入数,使用数,余り,税込パック単価,購入小計,価格区分,URL,注意,計上単位,調達状態
F01,MISUMI NFSL6-3030-400 4本組,1,4,4,0,1952,1952,observed_carried_from_A,https://www.amazon.co.jp/dp/B0DKF2CCW3,切断不要。左右外周2本と内部2本。 Aの2026-09-20確認価格を引継ぎ。この集計で再価格確認はしていない。,本,未発注・受入確認待ち
F02,MISUMI NFSL6-3030-300 4本組,1,4,2,2,1467,1467,observed_carried_from_A,https://www.amazon.co.jp/dp/B0DKDZ8G9G,切断不要。前後各1本、予備2本も購入費に含む。 Aの2026-09-20確認価格を引継ぎ。この集計で再価格確認はしていない。,本,未発注・受入確認待ち
F03,MISUMI HBLFSN6-SET 純正6シリーズ接合セット,8,1,8,0,192.5,1540.0,manufacturer_catalog_reference,https://jp.misumi-ec.com/vona2/detail/110300442340/,2026年7月表: 本体78円+SET97円=税別175円/組。8組×175×1.10=1540円の参考換算。各組CBM6-12×2/HNTT6-6×2付属。請求時の丸め・送料は未確定。,組,個人購入経路・納入総額未確定
F04,MISUMI HNTT6-6 追加28個の予算,1,28,28,0,1200,1200,allowance,https://jp.misumi-ec.com/vona2/detail/110302610850/,全44個=SET付属16+追加28。1200円は28個分の仮枠で、28個入りパックを確認した意味ではない。H01にこの溝ナット費を重複計上しない。,個,個人購入経路・販売単位・現価格未確定
D01,DFRobot FIT0185 / 12V 83rpm 131:1 エンコーダ付き,2,1,2,0,3019.5,6039.0,observed_carried_from_A,https://www.digikey.jp/ja/products/detail/dfrobot/FIT0185/6588527,税別2745円。在庫106表示。45kgfcmは拘束トルクで連続値ではない。送料を別に計上。 Aの確認価格を引継ぎ、全数の新規購入額で比較する。,個,未発注・受入確認待ち
D02,100mm金属ホイール＋ネオプレンタイヤ / 穴8mm / 幅25.4mm,2,1,2,0,2605,5210,observed_carried_from_A,https://www.amazon.co.jp/dp/B0B23WBLBK,約300g/個。ハブなし。PCD24の取付穴加工を別途見込む。許容輪荷重は非公表。 Aの確認価格を引継ぎ、全数の新規購入額で比較する。,個,未発注・受入確認待ち
D03,uxcell 8mmフランジハブ H13 / 胴16 / フランジ32 / PCD24 2個組,1,2,2,0,1341,1341,observed_carried_from_A,https://www.amazon.co.jp/dp/B07PTPFX35,M4止めねじ2本/個付属。車輪側4穴は既存穴に合うと仮定せず現物確認して加工。 Aの確認価格を引継ぎ、全数の新規購入額で比較する。,個,未発注・受入確認待ち
D04,uxcell C45クロムメッキ軸 8x100mm 2本組,1,2,2,0,828,828,observed_carried_from_A,https://www.amazon.co.jp/dp/B0G3Y7811K,切断不要。止めねじ部の浅い平面加工を見込む。直径公差は受入確認。 Aの確認価格を引継ぎ、全数の新規購入額で比較する。,個,未発注・受入確認待ち
D05,KFL08 8mmフランジ軸受 3個組×2を参考にした予算,2,3,4,2,1350,2700,allowance,https://store.shopping.yahoo.co.jp/shiningone23/pea696f5ed9.html,参考販売表示は3個1336円、2組2672円。試算2700円、6個購入想定で2個余りも含む。幅2mm等の記載があり、参照図48×27×12/穴ピッチ36と同一寸法・荷重仕様の保証なし。Amazon採用品未特定。,個,調達候補未確定・図面との同一性未確認
D06,uxcell ジョーカップリング 6→8mm / D20 L25,2,1,2,0,999,1998,observed_carried_from_A,https://www.amazon.co.jp/dp/B0CWNQJWPH,軸端間に3mmの隙間。許容連続トルク・許容偏心は非公表、負荷試験が必要。 Aの確認価格を引継ぎ。,個,未発注・受入確認待ち
D07,PATIKIL 分割軸カラー 内8 外25 幅8 4個組,1,4,4,0,923,923,observed_carried_from_A,https://www.amazon.co.jp/dp/B0DDXP5HL6,4個購入・4個使用。内外KFL08の内側に配置する軸方向の補助ストッパ。現物では隙間を調整し軸受へ予圧を掛けない。 Aの確認価格を引継ぎ。,個,未発注・受入確認待ち
C01,ハンマーキャスター 420G-R50,1,1,1,0,373,373,observed_carried_from_A,https://www.tanaka-km.com/view/item/000000036665,径50 幅20 高さ65、座59x47、穴ピッチ46x35、トレール16、許容荷重300N。個人購入可。本州送料650円別。 50mmを維持。段差能力は未認定。,個,未発注・受入確認待ち
P01,A5052板 t4 300×300mm / EA441VC-41 参考,2,1,2,0,4521,9042,retailer_price_reference,https://www.monotaro.com/p/4993/2618/,2026-09-20参照の税込表示4521円/枚。上板120×152×2、壁112×80×4、ウェブ148×70×4、キャスター板80×170×1の矩形外形を2枚に仮配置。cost_summaryの切出し案は刃幅3mm/外周5mmの机上確認で、つかみ代・切断順・実公差は未確定。加工費別。,枚,購入・個人向け納入条件・加工適合の最終確認前
P02,A5052板 t3 250×250mm相当 素材予算,1,1,1,0,1500,1500,allowance,,ガセット60×60直角三角形×4と幅50mmのU形モーター台×2。Uの展開寸法・曲げR・加工方式は未確定。板の販売単位・切出し配置を確定後に更新。曲げ/穴加工は外注枠と分離。,枚相当,素材単位・価格・加工見積未取得
P03,アルミ等辺アングル15×15×3 L1000mm 素材予算,1,1,1,0,1000,1000,allowance,https://axel.as-1.co.jp/asone/d/64-8372-69/,L70×8=560mmを切出す想定。切りしろ3mm×8を加えて584mm。上部小金具はP07の20mm角材へ変更し、この材には含めない。残材を費用から控除しない。参考製品は光モール413、標準税別850円だがWEB納入価格未確定。,本,採用販売元・内R・実寸・送料未確定
P04,アルミ不等辺アングル30×20×3 素材一式予算,1,1,1,0,1200,1200,allowance,,フレーム側面金具L112×2。切断・切欠き・穴加工が必要。必要長224mmだけの按分価格ではなく、販売単位未確定の素材購入枠。,式,入手可能定尺・材質・価格未確認
P05,アルミパイプ 外12 内7 長500mm 素材予算,1,1,1,0,700,700,allowance,,Aの素材枠を引継ぎ。40mmスペーサ8個は撤去するが、キャスターL6×4とPLAトレイ圧縮スリーブL2.6×4を切出す。長さ精度・切りしろを確認。購入長全体を計上し余りを費用から控除しない。,本,素材価格・短尺加工方法未確定
P06,PLAトレイ・軸端キャップ・型合わせ治具 消費材料予算,1,1,1,0,500,500,allowance,,機器トレイ200×180×10.4mmと軸端キャップ等。既所有PLAの消費分を約200g×2500円/kg=500円と仮置き。実スライス量・治具・失敗分を再集計。新規スプールを買う場合は購入単位全額へ差替え。P1S本体・工具代・作業時間・電気代は含まない。,式(消費分),手持ちPLA使用仮定・実スライス量未確定
P07,アルミ等辺アングル20×20×3 L1000mm 素材予算,1,1,1,0,1400,1400,allowance,https://axel.as-1.co.jp/asone/d/64-8372-74/,上部小金具L18×4+L12×4=120mm。刃幅3mm×8を加えて144mm。干渉修正で15mm角から変更。光モール414の標準税別1210円/1mを参考に税込1400円枠。使用長の按分でなく1本購入を見込む。端材入手が確定すれば購入単位・送料を含めて差替え。,本,販売元・内R・現価格・送料未確定
